MONTH,ARRESTTIME,AGE,GENDER,RACE,INCIDENTNEIGHBORHOOD,INCIDENTZONE,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,ARRESTLOCATION,OFFENSES,INCIDENTLOCATION,INCIDENTTRACT
12,2020-12-31T22:26:00,35,M,B,Central Business District,2,6,6,-80.00108014,40.43943315,"400 Block Wood ST Pittsburgh, PA 15222",3502 Burglary. / 5505 Public Drunkenness,"400 Block Wood ST Pittsburgh, PA 15222",201
12,2020-12-31T22:20:00,23,M,B,Brighton Heights,1,1,1,-80.04119109,40.48351844,"1700 Block Marmaduke ST Pittsburgh, PA 15212",2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,"1700 Block Marmaduke ST Pittsburgh, PA 15212",2701
12,2020-12-31T19:45:00,28,M,B,Central Business District,2,6,6,-79.99811947,40.44034004,"500 Block Smithfield ST Pittsburgh, PA 15222",2701 Simple Assault. / 5101 Obstructing Admin. of Law  / 5104 Resisting Arrest or Other Law Enforcement. / 5123 Contraband. / 13(a)(16) Possession of Controlled Substance / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,"500 Block Smithfield ST Pittsburgh, PA 15222",201
12,2020-12-31T15:50:00,23,M,B,Manchester,1,6,1,-80.02307933,40.45660957,"1100 Block Langtry ST Pittsburgh, PA 15212",903 Criminal Conspiracy. / 2501 Criminal Homicide.,"1200 Block N Franklin ST Pittsburgh, PA 15233",2107
12,2020-12-31T15:30:00,30,M,W,Strip District,2,7,6,-79.98278512,40.45141009,"2500 Block Smallman ST Pittsburgh, PA 15222","2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 607.03 Discharging Firearm or Airgun / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury","21st ST & Spring WY Pittsburgh, PA 15222",203
12,2020-12-31T15:10:00,41,M,W,Esplen,6,2,5,-80.05130683,40.46217612,"900 Block 2ND AV Pittsburgh, PA 15219","3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means","3300 Block W Carson ST Pittsburgh, PA 15204",2017
12,2020-12-31T11:05:00,29,M,W,Allentown,3,3,5,-79.99479357,40.42176977,"900 Block 2ND AV Pittsburgh, PA 15219",2706 Terroristic Threats. / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,"100 Block Walter ST Pittsburgh, PA 15210",1803
12,2020-12-31T09:45:00,35,M,W,Banksville,6,2,5,-80.0401488,40.4049229,"600 Block 1st AV Pittsburgh, PA 15219",3921 Theft by Unlawful Taking or Disposition.,"2800 Block Banksville RD Pittsburgh, PA 15216",2023
12,2020-12-30T23:54:00,24,F,B,Brookline,6,4,5,-80.00063053,40.39996738,"1600 Block Saw Mill Run BL Pittsburgh, PA 15210",2709(a) Harassment. / 5505 Public Drunkenness / 3503 Criminal Trespass,"1600 Block Saw Mill Run BL Pittsburgh, PA 15210",3206
12,2020-12-30T21:00:00,58,M,W,Beechview,6,4,5,-80.02830164,40.40259141,"600 Block 1st AV Pittsburgh, PA 15219",3304 Criminal Mischief.,"2300 Block Vodeli ST Pittsburgh, PA 15216",1920
12,2020-12-30T20:54:00,24,M,W,Hazelwood,4,5,3,-79.94327508,40.407099,"2nd AV & W Elizabeth ST Pittsburgh, PA 15207",907 Possessing Instruments of Crime. / 2701 Simple Assault. / 2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement.,"2nd AV & W Elizabeth ST Pittsburgh, PA 15207",1501
12,2020-12-30T19:59:00,43,M,B,Homewood North,5,9,2,-79.89350679,40.45813239,"7300 Block Race ST Pittsburgh, PA 15208",903 Criminal Conspiracy. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount,"7300 Block Race ST Pittsburgh, PA 15208",1302
12,2020-12-30T18:46:00,24,M,B,Highland Park,5,9,2,-79.90861668,40.47030563,"1100 Block Buente ST Pittsburgh, PA 15212",9093 Indirect Criminal Contempt,"1400 Block Washington BL Pittsburgh, PA 15206",1106
12,2020-12-30T18:40:00,41,M,B,East Hills,5,9,2,-79.88070585,40.4547044,"Bennett ST & Tokay ST Pittsburgh, PA 15221",1543 Driving While Operating Privilege is Suspended or Revoked. / 4303 General Lighting Requirements. / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 13(a)(31) Marijuana: Possession Small Amount,"Bennett ST & Tokay ST Pittsburgh, PA 15221",1306
